Compound_ID,SMILES,FM,N_count,logP_exp,Consensus,delta_Consensus,Spread4,Coumarin_Type,Structural_Class,overestimated,severe_overestimation,severe_error_abs_ge_2,A1_high_spread4,A2_high_consensus,A3_high_spread4_and_high_consensus,A4_n_bearing_high_spread4_high_consensus,A5_n_bearing_conjugated_high_spread4_or_high_consensus,A6_n_1_3_conjugated_high_spread4_or_high_consensus,A7_n_ge_4_mixed_highN_provisional,A8_n_free_pi_extended_boundary,A9_lower_concern_screen
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,FM0,0,2.505,3.74,-1.2350000000000003,2.3299999999999996,dimeric_coumarin,,True,False,False,True,True,True,False,False,False,False,True,False
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,FM3,5,3.22,3.14,0.08,1.73,conjugated_coumarin,,False,False,False,False,True,False,False,True,False,True,False,False
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,FM3,5,3.01,2.23,0.7799999999999998,1.8399999999999999,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,FM3,5,2.97,2.31,0.6600000000000001,1.8399999999999999,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,FM3,5,2.78,2.17,0.6099999999999999,1.5199999999999998,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],FM3,5,3.77,1.9,1.87,1.5400000000000003,conjugated_coumarin,,False,False,False,False,False,False,False,False,False,True,False,False
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,FM2,3,4.88,5.93,-1.0499999999999998,1.7999999999999998,conjugated_coumarin,,True,False,False,False,True,False,False,True,True,False,False,False
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,FM2,3,5.04,6.57,-1.5300000000000002,2.1400000000000006,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,FM2,3,5.03,6.59,-1.5599999999999996,2.1400000000000006,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,FM2,3,4.76,6.0,-1.2400000000000002,2.130000000000001,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,FM3,4,3.93,5.19,-1.2600000000000002,2.1599999999999993,conjugated_coumarin,,True,False,False,True,True,True,True,True,False,True,False,False
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,FM0,0,2.37,1.43,0.9400000000000002,0.9299999999999999,simple_coumarin,,False,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,FM4,0,3.28,3.12,0.1599999999999997,1.8500000000000005,simple_coumarin,,False,False,False,False,True,False,False,False,False,False,False,False
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,FM2,1,3.24,2.26,0.9800000000000004,1.97,simple_coumarin,,False,False,False,False,False,False,False,False,False,False,False,False
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,FM4,0,4.93,2.66,2.27,2.04,dimeric_coumarin,,False,False,True,True,False,False,False,False,False,False,True,False
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,FM4,0,4.55,2.61,1.94,2.5900000000000003,dimeric_coumarin,,False,False,False,True,False,False,False,False,False,False,True,False
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,FM2,3,3.304,4.56,-1.2559999999999998,2.64,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,FM2,3,3.112,5.05,-1.938,3.0,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,FM2,3,3.537,4.81,-1.2729999999999997,2.8800000000000003,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,FM2,3,3.059,4.99,-1.931,2.8699999999999997,conjugated_coumarin,,True,False,False,True,True,True,True,True,True,False,False,False
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,FM2,3,3.002,5.4,-2.398000000000001,3.3000000000000003,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,FM2,3,3.067,5.07,-2.003,2.8099999999999996,conjugated_coumarin,,True,True,True,True,True,True,True,True,True,False,False,False
