Compound_ID,Atom_index_0based,Atom_index_1based,element,Mulliken_charge,Loewdin_charge,Is_heavy_atom,Is_N,Is_O,atom_index_0based,atom_index_1based,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_016,0.0,1.0,O,-0.317274,-0.232171,True,False,True,0,1,True,,
CMR_GOLD_016,1.0,2.0,C,0.26429,0.109531,True,False,False,1,2,True,,
CMR_GOLD_016,2.0,3.0,C,-0.189117,-0.145149,True,False,False,2,3,True,,
CMR_GOLD_016,3.0,4.0,C,0.027914,-0.042039,True,False,False,3,4,True,,
CMR_GOLD_016,4.0,5.0,C,0.170196,0.089693,True,False,False,4,5,True,,
CMR_GOLD_016,5.0,6.0,O,-0.295044,-0.080793,True,False,True,5,6,True,,
CMR_GOLD_016,6.0,7.0,C,0.178179,0.099626,True,False,False,6,7,True,,
CMR_GOLD_016,7.0,8.0,C,-0.015839,-0.062842,True,False,False,7,8,True,,
CMR_GOLD_016,8.0,9.0,O,-0.258985,-0.213744,True,False,True,8,9,True,,
CMR_GOLD_016,9.0,10.0,C,-0.179992,-0.138142,True,False,False,9,10,True,,
CMR_GOLD_016,10.0,11.0,C,0.202107,0.108086,True,False,False,10,11,True,,
CMR_GOLD_016,11.0,12.0,O,-0.188612,-0.022249,True,False,True,11,12,True,,
CMR_GOLD_016,12.0,13.0,C,0.004684,-0.069438,True,False,False,12,13,True,,
CMR_GOLD_016,13.0,14.0,C,-0.028841,0.005997,True,False,False,13,14,True,,
CMR_GOLD_016,14.0,15.0,C,0.024567,-0.026115,True,False,False,14,15,True,,
CMR_GOLD_016,15.0,16.0,C,0.0237,0.003196,True,False,False,15,16,True,,
CMR_GOLD_016,16.0,17.0,C,-0.032635,-0.034487,True,False,False,16,17,True,,
CMR_GOLD_016,17.0,18.0,C,0.174174,0.074137,True,False,False,17,18,True,,
CMR_GOLD_016,18.0,19.0,O,-0.218444,-0.019014,True,False,True,18,19,True,,
CMR_GOLD_016,19.0,20.0,C,0.265188,0.11122,True,False,False,19,20,True,,
CMR_GOLD_016,20.0,21.0,O,-0.32169,-0.222688,True,False,True,20,21,True,,
CMR_GOLD_016,21.0,22.0,C,0.215719,0.106723,True,False,False,21,22,True,,
CMR_GOLD_016,22.0,23.0,O,-0.188076,-0.018131,True,False,True,22,23,True,,
CMR_GOLD_016,23.0,24.0,C,0.000825,-0.069481,True,False,False,23,24,True,,
CMR_GOLD_016,24.0,25.0,C,-0.029867,0.004964,True,False,False,24,25,True,,
CMR_GOLD_016,25.0,26.0,C,0.024133,-0.027293,True,False,False,25,26,True,,
CMR_GOLD_016,26.0,27.0,C,0.02305,0.002159,True,False,False,26,27,True,,
CMR_GOLD_016,27.0,28.0,C,-0.033302,-0.035524,True,False,False,27,28,True,,
CMR_GOLD_016,28.0,29.0,C,0.1763,0.072692,True,False,False,28,29,True,,
CMR_GOLD_016,29.0,30.0,O,-0.220135,-0.021232,True,False,True,29,30,True,,
CMR_GOLD_029,0.0,1.0,O,-0.259017,-0.232958,True,False,True,0,1,True,,
CMR_GOLD_029,1.0,2.0,C,0.219458,0.082571,True,False,False,1,2,True,,
CMR_GOLD_029,2.0,3.0,O,-0.245848,-0.048699,True,False,True,2,3,True,,
CMR_GOLD_029,3.0,4.0,C,0.16452,0.081506,True,False,False,3,4,True,,
CMR_GOLD_029,4.0,5.0,C,0.043523,-0.079355,True,False,False,4,5,True,,
CMR_GOLD_029,5.0,6.0,C,-0.054456,0.005406,True,False,False,5,6,True,,
CMR_GOLD_029,6.0,7.0,C,-0.014977,-0.05433,True,False,False,6,7,True,,
CMR_GOLD_029,7.0,8.0,C,0.2429,0.068885,True,False,False,7,8,True,,
CMR_GOLD_029,8.0,9.0,O,-0.328795,-0.092425,True,False,True,8,9,True,,
CMR_GOLD_029,9.0,10.0,C,0.162472,0.076732,True,False,False,9,10,True,,
CMR_GOLD_029,10.0,11.0,C,0.140918,0.052733,True,False,False,10,11,True,,
CMR_GOLD_029,11.0,12.0,O,-0.32898,-0.144142,True,False,True,11,12,True,,
