Compound_ID,n_atoms,n_heavy_atoms,min_Mulliken_charge,max_Mulliken_charge,min_Loewdin_charge,max_Loewdin_charge,mean_abs_Mulliken_heavy,mean_abs_Loewdin_heavy,min_Mulliken_charge_atom_index_1based,min_Mulliken_charge_element,max_Mulliken_charge_atom_index_1based,max_Mulliken_charge_element,min_Loewdin_charge_atom_index_1based,min_Loewdin_charge_element,max_Loewdin_charge_atom_index_1based,max_Loewdin_charge_element
CMR_GOLD_016,46,30,-0.3217,0.2652,-0.2322,0.1112,0.1431,0.0756,21,O,20,C,1,O,20,C
CMR_GOLD_029,44,26,-0.329,0.2429,-0.233,0.0826,0.1421,0.0707,12,O,8,C,1,O,2,C
CMR_GOLD_044,25,17,-0.24,0.2415,-0.2128,0.0826,0.1151,0.0543,1,O,2,C,1,O,2,C
CMR_GOLD_043,22,16,-0.2383,0.2544,-0.211,0.1162,0.1275,0.0561,1,O,15,C,1,O,15,C
CMR_GOLD_055,17,11,-0.2514,0.2204,-0.2216,0.0858,0.109,0.0627,1,O,2,C,1,O,2,C
CMR_GOLD_058,68,36,-0.3079,0.2277,-0.2683,0.4238,0.1094,0.0848,23,O,2,C,23,O,22,S
CMR_GOLD_079,41,27,-0.3738,0.3132,-0.2555,0.1082,0.1164,0.0691,1,O,4,C,1,O,7,N
CMR_GOLD_090,45,26,-0.3382,0.2625,-0.2472,0.127,0.1607,0.0884,25,O,16,C,12,O,13,C
CMR_GOLD_020,48,33,-0.2609,0.2113,-0.2097,0.4518,0.0805,0.078,24,O,2,C,1,O,18,S
CMR_GOLD_092,52,31,-0.3655,0.2774,-0.2442,0.1297,0.1225,0.0717,29,O,21,C,12,O,13,C
