Compound_ID,SMILES,logP_exp,N_count,N_group,FM,Data_Tier,Consensus,delta_Consensus,logP_range,logP_15,Coumarin_Type,SMILES_valid
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,2.505,0,N=0,FM0,STRICT-GOLD,3.74,-1.2350000000000003,logP 2-3,logP 1.5-3.0,dimeric_coumarin,True
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,3.22,5,N≥4,FM3,STRICT-GOLD,3.14,0.08,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,3.01,5,N≥4,FM3,STRICT-GOLD,2.23,0.7799999999999998,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,2.97,5,N≥4,FM3,STRICT-GOLD,2.31,0.6600000000000001,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,2.78,5,N≥4,FM3,STRICT-GOLD,2.17,0.6099999999999999,logP 2-3,logP 1.5-3.0,conjugated_coumarin,True
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],3.77,5,N≥4,FM3,STRICT-GOLD,1.9,1.87,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.88,3,N=2-3,FM2,STRICT-GOLD,5.93,-1.0499999999999998,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.04,3,N=2-3,FM2,STRICT-GOLD,6.57,-1.5300000000000002,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.03,3,N=2-3,FM2,STRICT-GOLD,6.59,-1.5599999999999996,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.76,3,N=2-3,FM2,STRICT-GOLD,6.0,-1.2400000000000002,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,3.93,4,N≥4,FM3,STRICT-GOLD,5.19,-1.2600000000000002,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,2.37,0,N=0,FM0,STRICT-GOLD,1.43,0.9400000000000002,logP 2-3,logP 1.5-3.0,simple_coumarin,True
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,3.28,0,N=0,FM4,STRICT-GOLD,3.12,0.1599999999999997,logP>3,logP>3.0,simple_coumarin,True
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,3.24,1,N=1,FM2,STRICT-GOLD,2.26,0.9800000000000004,logP>3,logP>3.0,simple_coumarin,True
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,4.93,0,N=0,FM4,STRICT-GOLD,2.66,2.27,logP>3,logP>3.0,dimeric_coumarin,True
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,N=0,FM4,STRICT-GOLD,2.61,1.94,logP>3,logP>3.0,dimeric_coumarin,True
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,N=2-3,FM2,GOLD,4.56,-1.2559999999999998,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,N=2-3,FM2,GOLD,5.05,-1.938,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,N=2-3,FM2,GOLD,4.81,-1.2729999999999997,logP>3,logP>3.0,conjugated_coumarin,True
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,N=2-3,FM2,GOLD,4.99,-1.931,logP>3,logP>3.0,conjugated_coumarin,True
