ALOGPS_order,Compound_ID,SMILES,logP_exp,N_count,FM,ALOGPS_2_1_logP,ALOGPS_logS,delta_ALOGPS_2_1_logP,abs_delta_ALOGPS_2_1_logP,ALOGPS_output_SMILES
1,CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,2.505,0,FM0,3.06,-4.45,-0.5550000000000002,0.5550000000000002,COc1ccccc1C(C2=C(O)c3c(OC2=O)cccc3)C4=C(O)c5c(OC4=O)cccc5
2,CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,3.22,5,FM3,3.22,-4.76,0.0,0.0,O=C1C(CSc2nc(N)nc3c2nc(SCC4=Cc5c(ccc(C)c5)OC4=O)n3C6C(O)C(O)C(CO)O6)=Cc7c(ccc(C)c7)O1
3,CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,3.01,5,FM3,3.01,-4.49,0.0,0.0,O=C1C(CSc2nc(N)nc3c2nc(SCC4=Cc5c(ccc(OC)c5)OC4=O)n3C6C(O)C(O)C(CO)O6)=Cc7c(ccc(OC)c7)O1
4,CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,2.97,5,FM3,2.97,-4.47,0.0,0.0,O=C1C(CSc2nc(N)nc3c2nc(SCC4=Cc5c(c(OC)ccc5)OC4=O)n3C6C(O)C(O)C(CO)O6)=Cc7c(c(OC)ccc7)O1
5,CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,2.78,5,FM3,2.83,-4.2,-0.050000000000000266,0.050000000000000266,O=C1C(CSc2nc(N)nc3c2nc(Sc4ccccc4)n3C5C(O)C(O)C(CO)O5)=Cc6c(ccc(OC)c6)O1
6,CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],3.77,5,FM3,3.66,-4.5,0.10999999999999988,0.10999999999999988,O=C1C(CSc2nc(N)nc3c2nc(SC#CC#CC#CC#CC#C)n3C4C(O)C(O)C(CO)O4)=Cc5c(ccc(OC)c5)O1
7,CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.88,3,FM2,6.48,-6.25,-1.6000000000000005,1.6000000000000005,O=C1C=C(CSc2nc3c(cccc3)c(Nc4ccccc4)n2)c5c(ccc(C(C)(C)C)c5)O1
8,CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.04,3,FM2,7.53,-6.42,-2.49,2.49,O=C1C=C(CSc2nc3c(cccc3)c(Nc4cccc(C)c4C)n2)c5c(ccc(C(C)(C)C)c5)O1
9,CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.03,3,FM2,7.53,-6.42,-2.5,2.5,O=C1C=C(CSc2nc3c(cccc3)c(Nc4ccc(C)cc4C)n2)c5c(ccc(C(C)(C)C)c5)O1
10,CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.76,3,FM2,6.35,-6.28,-1.5899999999999999,1.5899999999999999,O=C1C=C(CSc2nc3c(cccc3)c(Nc4ccccc4OC)n2)c5c(ccc(C(C)(C)C)c5)O1
11,CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,3.93,4,FM3,6.03,-5.96,-2.1,2.1,O=C1C=C(CSc2nc3c(cccc3)c(Nc4ccncc4)n2)c5c(ccc(C(C)(C)C)c5)O1
12,CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,2.37,0,FM0,1.01,-1.77,1.36,1.36,O=C1Oc2c(cccc2)C(O)=C1
13,CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,3.28,0,FM4,2.41,-3.82,0.8699999999999997,0.8699999999999997,O=C(Oc1ccccc12)C(C(c3ccccc3)CC(C)=O)=C2O
14,CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,3.24,1,FM2,2.53,-4.52,0.7100000000000004,0.7100000000000004,CC(CC(C1=C(c2ccccc2OC1=O)O)c3ccc(N(=O)=O)cc3)=O
15,CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,4.93,0,FM4,2.18,-3.78,2.7499999999999996,2.7499999999999996,O=C1C(C(C(OCC)=O)C2=C(O)c3ccccc3OC2=O)=C(O)c4ccccc4O1
16,CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,FM4,1.96,-3.62,2.59,2.59,COCC(C1=C(c2ccccc2OC1=O)O)C3=C(c4ccccc4OC3=O)O
17,CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,FM2,5.11,-4.88,-1.8060000000000005,1.8060000000000005,O=C1Oc2c(cc(Br)cc2)C=C1c3csc(n4cc(C=O)c(c5ccccc5)n4)n3
18,CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,FM2,5.5,-5.2,-2.388,2.388,O=C1Oc2c(cc(Br)cc2Br)C=C1c3csc(n4cc(C=O)c(c5ccccc5)n4)n3
19,CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,FM2,5.56,-5.31,-2.0229999999999997,2.0229999999999997,O=C1Oc2c(c3c(cccc3)cc2)C=C1c4csc(n5cc(C=O)c(c6ccccc6)n5)n4
20,CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,FM2,5.5,-5.23,-2.441,2.441,O=C1Oc2c(cc(Cl)cc2)C=C1c3csc(n4cc(C=O)c(c5ccc(Cl)cc5)n4)n3
21,CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.002,3,FM2,6.01,-5.42,-3.008,3.008,O=C1Oc2c(cc(Cl)cc2Cl)C=C1c3csc(n4cc(C=O)c(c5ccc(Cl)cc5)n4)n3
22,CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,FM2,5.56,-5.07,-2.4929999999999994,2.4929999999999994,O=C1Oc2c(cc(Br)cc2)C=C1c3csc(n4cc(C=O)c(c5ccc(Cl)cc5)n4)n3
23,CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,FM2,5.75,-5.31,-2.148,2.148,O=C1Oc2c(cc(Cl)cc2Cl)C=C1c3csc(n4cc(C=O)c(c5ccc(C)cc5)n4)n3
24,CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,FM2,5.73,-5.33,-2.3940000000000006,2.3940000000000006,O=C1Oc2c(cc(Br)cc2Br)C=C1c3csc(n4cc(C=O)c(c5ccc(C)cc5)n4)n3
25,CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,FM4,3.81,-3.76,-0.77,0.77,CCC(C1=C(c2c(cccc2)OC1=O)O)c3ccccc3
26,CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,FM1,0.84,-2.25,-0.38999999999999996,0.38999999999999996,O=C1Oc2c(ccc(OCC(O)Cn3cncn3)c2)C(C)=C1
27,CMR_GOLD_028,O=C1OC2=C(C=CC(OCC(O)CN3N=NC4=C3C=CC=C4)=C2)C(C)=C1,0.6,3,FM1,2.36,-3.41,-1.7599999999999998,1.7599999999999998,O=C1Oc2c(ccc(OCC(O)Cn3nnc4c3cccc4)c2)C(C)=C1
28,CMR_GOLD_029,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=CC=C4)=C2)C(C)=C1,0.55,2,FM1,2.63,-3.75,-2.08,2.08,O=C1Oc2c(ccc(OCC(O)Cn3cnc4c3cccc4)c2)C(C)=C1
29,CMR_GOLD_030,O=C1OC2=C(C=CC(OCC(O)CN3C=NC4=C3C=C(C)C(C)=C4)=C2)C(C)=C1,0.61,2,FM1,3.14,-4.44,-2.5300000000000002,2.5300000000000002,O=C1Oc2c(ccc(OCC(O)Cn3cnc4c3cc(C)c(C)c4)c2)C(C)=C1
30,CMR_GOLD_031,O=C1OC2=C(C=CC(OCC(O)CSC3=NC4=CC=CC=C4N3)=C2)C(C)=C1,0.49,2,FM1,3.22,-4.13,-2.7300000000000004,2.7300000000000004,O=C1Oc2c(ccc(OCC(O)CSc3nc4ccccc4[nH]3)c2)C(C)=C1
31,CMR_GOLD_032,OC(COC1=CC(OCC(CN2C=NC=N2)O)=CC3=C1C(C)=CC(O3)=O)CN4C=NC=N4,0.65,6,FM3,0.34,-2.26,0.31,0.31,OC(COc1cc(OCC(Cn2cncn2)O)cc3c1C(C)=CC(O3)=O)Cn4cncn4
32,CMR_GOLD_033,O=C1OC2=C(C(OCC(O)CN3N=NC4=C3C=CC=C4)=CC(OCC(O)CN5N=NC6=C5C=CC=C6)=C2)C(C)=C1,0.48,6,FM3,2.58,-3.7,-2.1,2.1,O=C1Oc2c(c(OCC(O)Cn3nnc4c3cccc4)cc(OCC(O)Cn5nnc6c5cccc6)c2)C(C)=C1
33,CMR_GOLD_034,OC(COC1=CC(OCC(CN2C=NC3=C2C=CC=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=CC=C6,0.49,4,FM3,3.09,-4.2,-2.5999999999999996,2.5999999999999996,OC(COc1cc(OCC(Cn2cnc3c2cccc3)O)cc4c1C(C)=CC(O4)=O)Cn5cnc6c5cccc6
34,CMR_GOLD_035,OC(COC1=CC(OCC(CN2C=NC3=C2C=C(C)C(C)=C3)O)=CC4=C1C(C)=CC(O4)=O)CN5C=NC6=C5C=C(C)C(C)=C6,0.61,4,FM3,3.91,-4.57,-3.3000000000000003,3.3000000000000003,OC(COc1cc(OCC(Cn2cnc3c2cc(C)c(C)c3)O)cc4c1C(C)=CC(O4)=O)Cn5cnc6c5cc(C)c(C)c6
35,CMR_GOLD_036,OC(COC1=CC(OCC(CSC2=NC3=CC=CC=C3N2)O)=CC4=C1C(C)=CC(O4)=O)CSC5=NC6=CC=CC=C6N5,0.58,4,FM3,3.91,-5.1,-3.33,3.33,OC(COc1cc(OCC(CSc2nc3ccccc3[nH]2)O)cc4c1C(C)=CC(O4)=O)CSc5nc6ccccc6[nH]5
36,CMR_GOLD_037,O=C1OC2=CC=CC=C2C(/C(NC3=CC=CC=C3)=N\O)=C1Cl,2.58,2,FM2,3.58,-4.28,-1.0,1.0,O=C1Oc2ccccc2C(C(Nc3ccccc3)=NO)=C1Cl
37,CMR_GOLD_038,O=C1OC2=CC=CC=C2C(/C(NC3=CC=C(C)C=C3)=N\O)=C1Cl,2.89,2,FM2,3.85,-4.54,-0.96,0.96,O=C1Oc2ccccc2C(C(Nc3ccc(C)cc3)=NO)=C1Cl
38,CMR_GOLD_039,O=C1OC2=CC=CC=C2C(/C(NC3CCCCC3)=N\O)=C1Cl,2.78,2,FM2,3.29,-4.12,-0.5100000000000002,0.5100000000000002,O=C1Oc2ccccc2C(C(NC3CCCCC3)=NO)=C1Cl
39,CMR_GOLD_040,O=C1OC2=CC=CC=C2C(/C(CCO)=N\O)=C1Cl,0.22,1,FM1,1.69,-3.1,-1.47,1.47,O=C1Oc2ccccc2C(C(CCO)=NO)=C1Cl
