Compound_ID,SMILES,logP_exp,N_count,FM,OPERA_logP,OPERA_logP_predRange,OPERA_AD_LogP,OPERA_AD_index_LogP,OPERA_Conf_index_LogP,delta_OPERA_logP,abs_delta_OPERA_logP
CMR_GOLD_001,COC1=CC=CC=C1C(C2=C(O)C3=C(OC2=O)C=CC=C3)C4=C(O)C5=C(OC4=O)C=CC=C5,2.505,0,FM0,1.44,[0.05:2.83],1,0.39,0.348,1.065,1.065
CMR_GOLD_002,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(C)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(C)=C7)O1,3.22,5,FM3,-2.43,[-3.4:-1.18],1,0.319,0.406,5.65,5.65
CMR_GOLD_003,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C=CC(OC)=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C=CC(OC)=C7)O1,3.01,5,FM3,-2.84,[-3.4:-2.22],1,0.298,0.503,5.85,5.85
CMR_GOLD_004,O=C1C(CSC2=NC(N)=NC3=C2N=C(SCC4=CC5=C(C(OC)=CC=C5)OC4=O)N3C6[C@@H](O)[C@@H](O)[C@@H](CO)O6)=CC7=C(C(OC)=CC=C7)O1,2.97,5,FM3,-2.83,[-4.19:-1.47],0,0.294,0.337,5.800000000000001,5.800000000000001
CMR_GOLD_005,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC4=CC=CC=C4)N3C5[C@@H](O)[C@@H](O)[C@@H](CO)O5)=CC6=C(C=CC(OC)=C6)O1,2.78,5,FM3,1.88,[0.8:2.96],1,0.336,0.397,0.8999999999999999,0.8999999999999999
CMR_GOLD_006,O=C1C(CSC2=NC(N)=NC3=C2N=C(SC#CC#CC#CC#CC#C)N3C4[C@@H](O)[C@@H](O)[C@@H](CO)O4)=CC5=C(C=CC(OC)=C5)O1.[HH].[HH].[HH],3.77,5,FM3,1.08,[-0.67:2.83],0,0.286,0.285,2.69,2.69
CMR_GOLD_007,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.88,3,FM2,4.82,[1.84:7.8],1,0.406,0.1,0.05999999999999961,0.05999999999999961
CMR_GOLD_008,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC(C)=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.04,3,FM2,5.39,[4.16:6.62],1,0.384,0.386,-0.34999999999999964,0.34999999999999964
CMR_GOLD_009,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=C(C)C=C4C)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,5.03,3,FM2,5.39,[4.16:6.62],1,0.384,0.386,-0.35999999999999943,0.35999999999999943
CMR_GOLD_010,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=CC=C4OC)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,4.76,3,FM2,4.55,[2.72:6.3],1,0.418,0.299,0.20999999999999996,0.20999999999999996
CMR_GOLD_011,O=C1C=C(CSC2=NC3=C(C=CC=C3)C(NC4=CC=NC=C4)=N2)C5=C(C=CC(C(C)(C)C)=C5)O1,3.93,4,FM3,3.16,[0.38:5.94],1,0.419,0.116,0.77,0.77
CMR_GOLD_012,O=C1OC2=C(C=CC=C2)C(O)=C1,2.37,0,FM0,1.62,[1.43:1.81],1,0.738,0.813,0.75,0.75
CMR_GOLD_013,O=C(OC1=CC=CC=C12)C(C(C3=CC=CC=C3)CC(C)=O)=C2O,3.28,0,FM4,2.8,[2.36:3.24],1,0.571,0.671,0.48,0.48
CMR_GOLD_014,CC(CC(C1=C(C2=CC=CC=C2OC1=O)O)C3=CC=C([N+]([O-])=O)C=C3)=O,3.24,1,FM2,2.87,[1.86:3.88],1,0.568,0.482,0.3700000000000001,0.3700000000000001
CMR_GOLD_016,O=C1C(C(C(OCC)=O)C2=C(O)C3=CC=CC=C3OC2=O)=C(O)C4=CC=CC=C4O1,4.93,0,FM4,2.51,[1.75:3.27],1,0.457,0.513,2.42,2.42
CMR_GOLD_017,COCC(C1=C(C2=CC=CC=C2OC1=O)O)C3=C(C4=CC=CC=C4OC3=O)O,4.55,0,FM4,3.48,[1.38:6.09],1,0.49,0.158,1.0699999999999998,1.0699999999999998
CMR_GOLD_018,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.304,3,FM2,1.72,[0:3.44],1,0.46,0.386,1.5839999999999999,1.5839999999999999
CMR_GOLD_019,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=CC=C5)=N4)=N3,3.112,3,FM2,1.41,[0.45:2.37],1,0.437,0.515,1.7020000000000002,1.7020000000000002
CMR_GOLD_020,O=C1OC2=C(C3=C(C=CC=C3)C=C2)C=C1C4=CSC(N5C=C(C=O)C(C6=CC=CC=C6)=N5)=N4,3.537,3,FM2,2.45,[0.59:4.31],1,0.459,0.314,1.0869999999999997,1.0869999999999997
CMR_GOLD_021,O=C1OC2=C(C=C(Cl)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.059,3,FM2,2.02,[0.46:3.58],1,0.451,0.417,1.0390000000000001,1.0390000000000001
CMR_GOLD_022,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.002,3,FM2,1.97,[0.43:3.51],1,0.424,0.411,1.0319999999999998,1.0319999999999998
CMR_GOLD_023,O=C1OC2=C(C=C(Br)C=C2)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(Cl)C=C5)=N4)=N3,3.067,3,FM2,2.0,[0.45:3.55],1,0.448,0.419,1.0670000000000002,1.0670000000000002
CMR_GOLD_024,O=C1OC2=C(C=C(Cl)C=C2Cl)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.602,3,FM2,1.93,[0.23:3.63],1,0.457,0.347,1.672,1.672
CMR_GOLD_025,O=C1OC2=C(C=C(Br)C=C2Br)C=C1C3=CSC(N4C=C(C=O)C(C5=CC=C(C)C=C5)=N4)=N3,3.336,3,FM2,1.89,[0.23:3.55],1,0.443,0.35,1.446,1.446
CMR_GOLD_026,CCC(C1=C(C2=C(C=CC=C2)OC1=O)O)C3=CC=CC=C3,3.04,0,FM4,4.33,[3.63:5.03],1,0.586,0.618,-1.29,1.29
CMR_GOLD_027,O=C1OC2=C(C=CC(OCC(O)CN3C=NC=N3)=C2)C(C)=C1,0.45,3,FM1,1.95,[1.74:2.16],1,0.561,0.685,-1.5,1.5
