Dataset,Mode,n,Mean_bias,Mean_bias_CI95_low,Mean_bias_CI95_high,Median_bias,Median_bias_CI95_low,Median_bias_CI95_high,MAE,MAE_CI95_low,MAE_CI95_high,RMSE
Full dataset,FM0,6,-0.2608333333333335,-0.7541666666666669,0.3,-0.3300000000000002,-0.8425000000000002,0.39,0.5741666666666668,0.29166666666666685,0.9083333333333337,0.6921855483418689
Full dataset,FM1,13,-2.0271230769230764,-2.7391703846153845,-1.4310538461538462,-1.68,-2.6300000000000003,-1.4,2.0271230769230764,1.438919230769231,2.7268319230769227,2.358372710806526
Full dataset,FM2,44,-0.87175,-1.1347295454545459,-0.6063170454545457,-0.7739999999999998,-1.3099999999999998,-0.4099999999999997,1.0090227272727275,0.7968613636363637,1.2303073863636362,1.2515317978018343
Full dataset,FM3,27,-0.7777037037037038,-1.298263888888889,-0.2885712962962967,-0.8940000000000001,-1.46,0.05,1.1614074074074072,0.8049138888888888,1.553029629629629,1.5337874206850999
Full dataset,FM4,5,0.7499999999999999,-0.21599999999999991,1.7399999999999998,0.1599999999999997,-0.5699999999999998,2.27,0.9979999999999999,0.1979999999999998,1.798,1.3615799645999496
STRICT-GOLD + GOLD,FM0,6,-0.2608333333333335,-0.7541666666666669,0.3,-0.3300000000000002,-0.8425000000000002,0.39,0.5741666666666668,0.29166666666666685,0.9083333333333337,0.6921855483418689
STRICT-GOLD + GOLD,FM1,10,-2.21286,-3.058605,-1.4394625000000005,-1.895,-3.0725000000000002,-1.28,2.21286,1.4519875,3.0690029999999977,2.5756262531664023
STRICT-GOLD + GOLD,FM2,38,-0.7813421052631578,-1.066236842105263,-0.492420394736842,-0.6050000000000002,-1.273,-0.3400000000000003,0.9402894736842108,0.7205789473684211,1.1781460526315786,1.1873451477982297
STRICT-GOLD + GOLD,FM3,17,-0.4882352941176471,-1.2647352941176473,0.19470588235294112,0.05,-1.2600000000000002,0.4300000000000001,1.0976470588235292,0.5717647058823528,1.7135441176470585,1.6425016787528353
STRICT-GOLD + GOLD,FM4,5,0.7499999999999999,-0.21599999999999991,1.7399999999999998,0.1599999999999997,-0.5699999999999998,2.27,0.9979999999999999,0.1979999999999998,1.798,1.3615799645999496
