Dataset,Predictor,n,Bias_mean_Exp_minus_Pred,Bias_median_Exp_minus_Pred,MAE,RMSE,R2,Overestimated_n,Overestimated_percent,Severe_error_abs_ge_2_n,Severe_error_abs_ge_2_percent,Max_abs_error
Full dataset,iLOGP,95,-0.06529052631578947,-0.246,1.3187431578947368,1.8829438149093198,-1.744703424363208,58,61.05263157894737,22,23.157894736842106,4.742
Full dataset,XLOGP3,95,-1.3226589473684212,-1.0299999999999998,1.6230800000000003,2.1457099866821165,-2.564205586520376,71,74.73684210526315,37,38.94736842105263,6.1136
Full dataset,WLOGP,95,-1.0737115789473686,-0.9199999999999999,1.4043221052631578,1.839904579791257,-1.620663755857806,70,73.68421052631578,28,29.47368421052631,6.0336
Full dataset,MLOGP,95,-0.26844842105263156,-0.2200000000000002,0.9972484210526315,1.3086139793489018,-0.3256955920607687,52,54.736842105263165,15,15.789473684210526,3.0599999999999996
Full dataset,Silicos_IT,95,-1.6697115789473682,-1.5899999999999999,1.87686947368421,2.333382766804678,-3.2149523922749816,78,82.10526315789474,42,44.21052631578947,6.7136
Full dataset,Consensus,95,-0.8791852631578948,-0.8800000000000001,1.1636063157894738,1.5109614017153727,-0.7673698498076478,74,77.89473684210526,16,16.842105263157894,5.1936
Excluding CMR_GOLD_058,iLOGP,94,-0.02243617021276595,-0.24299999999999988,1.2892234042553192,1.8452434337472208,-1.6460021495916348,57,60.63829787234043,21,22.340425531914892,4.742
Excluding CMR_GOLD_058,XLOGP3,94,-1.2716914893617024,-1.02,1.575308510638298,2.0628700132314113,-2.306942024397059,70,74.46808510638297,36,38.297872340425535,4.879
Excluding CMR_GOLD_058,WLOGP,94,-1.0209468085106381,-0.9035,1.3550744680851061,1.741832957889903,-1.3577397365563488,69,73.40425531914893,27,28.723404255319153,4.34
Excluding CMR_GOLD_058,MLOGP,94,-0.23903191489361708,-0.19000000000000017,0.9755851063829787,1.277805519947582,-0.26885610999953125,51,54.25531914893617,14,14.893617021276595,3.0599999999999996
Excluding CMR_GOLD_058,Silicos_IT,94,-1.6160531914893612,-1.5139999999999998,1.825414893617021,2.241228085177239,-2.9035070458013665,77,81.91489361702128,41,43.61702127659575,5.46
Excluding CMR_GOLD_058,Consensus,94,-0.8332872340425532,-0.864,1.1207340425531918,1.4213865458649726,-0.5700274881719931,73,77.6595744680851,15,15.957446808510639,3.81
Excluding top-1 absolute consensus-error compound(s),iLOGP,94,-0.02243617021276595,-0.24299999999999988,1.2892234042553192,1.8452434337472208,-1.6460021495916348,57,60.63829787234043,21,22.340425531914892,4.742
Excluding top-1 absolute consensus-error compound(s),XLOGP3,94,-1.2716914893617024,-1.02,1.575308510638298,2.0628700132314113,-2.306942024397059,70,74.46808510638297,36,38.297872340425535,4.879
Excluding top-1 absolute consensus-error compound(s),WLOGP,94,-1.0209468085106381,-0.9035,1.3550744680851061,1.741832957889903,-1.3577397365563488,69,73.40425531914893,27,28.723404255319153,4.34
Excluding top-1 absolute consensus-error compound(s),MLOGP,94,-0.23903191489361708,-0.19000000000000017,0.9755851063829787,1.277805519947582,-0.26885610999953125,51,54.25531914893617,14,14.893617021276595,3.0599999999999996
Excluding top-1 absolute consensus-error compound(s),Silicos_IT,94,-1.6160531914893612,-1.5139999999999998,1.825414893617021,2.241228085177239,-2.9035070458013665,77,81.91489361702128,41,43.61702127659575,5.46
Excluding top-1 absolute consensus-error compound(s),Consensus,94,-0.8332872340425532,-0.864,1.1207340425531918,1.4213865458649726,-0.5700274881719931,73,77.6595744680851,15,15.957446808510639,3.81
Excluding top-3 absolute consensus-error compound(s),iLOGP,92,0.04827173913043478,-0.21500000000000008,1.246054347826087,1.799394502627747,-1.5895573990802578,55,59.78260869565217,19,20.652173913043477,4.742
Excluding top-3 absolute consensus-error compound(s),XLOGP3,92,-1.2142282608695654,-0.9950000000000001,1.524445652173913,2.0033563494903945,-2.209882809221205,68,73.91304347826086,34,36.95652173913043,4.879
Excluding top-3 absolute consensus-error compound(s),WLOGP,92,-0.9492282608695654,-0.8785000000000001,1.2906195652173913,1.6414094983593668,-1.1547984162496574,67,72.82608695652173,25,27.173913043478258,4.075
Excluding top-3 absolute consensus-error compound(s),MLOGP,92,-0.2048804347826087,-0.16000000000000014,0.9574456521739131,1.2636798103330915,-0.2771645545518222,49,53.2608695652174,14,15.217391304347828,3.0599999999999996
Excluding top-3 absolute consensus-error compound(s),Silicos_IT,92,-1.5342282608695652,-1.419,1.7481413043478262,2.1220122551176663,-2.6013766021045437,75,81.52173913043478,39,42.391304347826086,4.685
Excluding top-3 absolute consensus-error compound(s),Consensus,92,-0.7700978260869568,-0.7739999999999998,1.0637934782608698,1.3266783177152073,-0.4076802778112798,71,77.17391304347827,13,14.130434782608695,3.5149999999999997
Excluding top-5 absolute consensus-error compound(s),iLOGP,90,0.10073333333333333,-0.17500000000000027,1.2223555555555556,1.7853109533075744,-1.5937777602821908,53,58.88888888888889,18,20.0,4.742
Excluding top-5 absolute consensus-error compound(s),XLOGP3,90,-1.1630444444444445,-0.975,1.480155555555556,1.9534358562400878,-2.105298356621495,66,73.33333333333333,32,35.55555555555556,4.879
Excluding top-5 absolute consensus-error compound(s),WLOGP,90,-0.891488888888889,-0.7950000000000002,1.2404666666666666,1.5710671815326325,-1.0086049860491806,65,72.22222222222221,23,25.555555555555554,3.9300000000000006
