Sangster_ID,Name,CASRN,SMILES,logP_exp,Canonical_SMILES,InChIKey,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,aromatic_coumarin_core,four_hydroxycoumarin_like,strict_coumarin_any,name_contains_coumarin,coumarin_candidate_any,overlap_exact_inchikey_with_95,overlap_first_block_with_95
R5762251,,,NC1=C(C#N)[C@H](C2=CC=CS2)C2=C(O1)C1=CC=CC=C1OC2=O,2.34,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1cccs1,XQLJKVUBWFWJHH-CYBMUJFWSA-N,C17H10N2O3S,XQLJKVUBWFWJHH,True,False,True,False,True,False,True,False,False
R5762302,,,COC1=CC=C2C(C)=C(C)C(=O)OC2=C1C,3.45,COc1ccc2c(C)c(C)c(=O)oc2c1C,TVWLCJVDJFYZSD-UHFFFAOYSA-N,C13H14O3,TVWLCJVDJFYZSD,True,False,True,False,True,False,True,False,False
R5762308,,,CC(C)OC1=CC=C2C(C)=CC(=O)OC2=C1,3.33,Cc1cc(=O)oc2cc(OC(C)C)ccc12,COIUQMDQIBGHQH-UHFFFAOYSA-N,C13H14O3,COIUQMDQIBGHQH,True,False,True,False,True,False,True,False,False
R5762326,,,CCC1=CC(=O)OC2=C(C)C(OCC(=O)OC(C)(C)C)=CC=C12,4.52,CCc1cc(=O)oc2c(C)c(OCC(=O)OC(C)(C)C)ccc12,XCLOVAUIMQGTOK-UHFFFAOYSA-N,C18H22O5,XCLOVAUIMQGTOK,True,False,True,False,True,False,True,False,False
R5762456,,,CC[C@@H](NS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC1=CC=C2C(OC(=O)C3=C2CCCC3)=C1,3.08,CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,NZTIPCHEAMRWCN-OAQYLSRUSA-N,C24H25NO6S,NZTIPCHEAMRWCN,True,False,True,False,True,False,True,False,False
R5762627,,,COC1=C(OC)C=C2[C@H](COC3=CC=C4C(C)=CC(=O)OC4=C3)N(CCC2=C1)C(=O)C1CCCCC1,5.07,COc1cc2c(cc1OC)[C@H](COc1ccc3c(C)cc(=O)oc3c1)N(C(=O)C1CCCCC1)CC2,HYXGIGVZSVPNGR-DEOSSOPVSA-N,C29H33NO6,HYXGIGVZSVPNGR,True,False,True,False,True,False,True,False,False
R5762640,,,CCN1C=C(CN(C)C(=O)C2=CC3=CC(Br)=CC=C3OC2=O)C(C)=N1,3.27,CCn1cc(CN(C)C(=O)c2cc3cc(Br)ccc3oc2=O)c(C)n1,LGNNLEKUCHDMHW-UHFFFAOYSA-N,C18H18BrN3O3,LGNNLEKUCHDMHW,True,False,True,False,True,False,True,False,False
R5762833,,,COC1=CC=C(C=C1)C1=NN=C(SCC2=CC(=O)OC3=C2C2=CC=CC=C2C=C3)N1N,4.24,COc1ccc(-c2nnc(SCc3cc(=O)oc4ccc5ccccc5c34)n2N)cc1,HGQITXLGESDIAZ-UHFFFAOYSA-N,C23H18N4O3S,HGQITXLGESDIAZ,True,False,True,False,True,False,True,False,False
R38319780,"2H-1-Benzopyran-2-one, 7,8-dihydroxy-",486-35-1,OC1=CC=C2C=CC(=O)OC2=C1O,0.71,O=c1ccc2ccc(O)c(O)c2o1,ATEFPOUAMCWAQS-UHFFFAOYSA-N,C9H6O4,ATEFPOUAMCWAQS,True,False,True,False,True,True,True,False,False
R38322885,"2H-1-benzopyran-2-one, 7-hydroxy-4-methyl-",90-33-5,CC1=CC(=O)OC2=C1C=CC(O)=C2,1.9,Cc1cc(=O)oc2cc(O)ccc12,HSHNITRMYYLLCV-UHFFFAOYSA-N,C10H8O3,HSHNITRMYYLLCV,True,False,True,False,True,True,True,False,False
R38322890,"2H-1-Benzopyran-2-one, 7-methoxy-",531-59-9,COC1=CC=C2C=CC(=O)OC2=C1,2.13,COc1ccc2ccc(=O)oc2c1,LIIALPBMIOVAHH-UHFFFAOYSA-N,C10H8O3,LIIALPBMIOVAHH,True,False,True,False,True,True,True,False,False
R38325466,"2H-Thieno[3,2-g]-1-benzopyran-2-one",144190-41-0,O=C1OC2=C(C=C1)C=C1C=CSC1=C2,2.27,O=c1ccc2cc3ccsc3cc2o1,MVYJHOJFBCLVIB-UHFFFAOYSA-N,C11H6O2S,MVYJHOJFBCLVIB,True,False,True,False,True,True,True,False,False
