External_ID,Sangster_ID,Name,CASRN,Canonical_SMILES,InChIKey,logP_exp,N_count,N_group,logP_bin,O_count,MW,TPSA,HBD,HBA,Heavy_atoms,dot_disconnected_entry,strict_coumarin_any,aromatic_coumarin_core,overlap_exact_inchikey_with_95,overlap_first_block_with_95,SMILES,Formula,InChIKey_first_block,valid_mol,strict_coumarin_core,four_hydroxycoumarin_like,name_contains_coumarin,coumarin_candidate_any
SANG_CMR_EXT_001,R5762251,,,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1cccs1,XQLJKVUBWFWJHH-CYBMUJFWSA-N,2.34,2,N = 2–3,1.5 ≤ logP ≤ 3.0,3,322.345,89.25000000000001,1,6,23,False,True,True,False,False,NC1=C(C#N)[C@H](C2=CC=CS2)C2=C(O1)C1=CC=CC=C1OC2=O,C17H10N2O3S,XQLJKVUBWFWJHH,True,False,False,False,True
SANG_CMR_EXT_002,R5762302,,,COc1ccc2c(C)c(C)c(=O)oc2c1C,TVWLCJVDJFYZSD-UHFFFAOYSA-N,3.45,0,N = 0,logP > 3.0,3,218.25199999999995,39.44,0,3,16,False,True,True,False,False,COC1=CC=C2C(C)=C(C)C(=O)OC2=C1C,C13H14O3,TVWLCJVDJFYZSD,True,False,False,False,True
SANG_CMR_EXT_003,R5762308,,,Cc1cc(=O)oc2cc(OC(C)C)ccc12,COIUQMDQIBGHQH-UHFFFAOYSA-N,3.33,0,N = 0,logP > 3.0,3,218.25199999999998,39.44,0,3,16,False,True,True,False,False,CC(C)OC1=CC=C2C(C)=CC(=O)OC2=C1,C13H14O3,COIUQMDQIBGHQH,True,False,False,False,True
SANG_CMR_EXT_004,R5762326,,,CCc1cc(=O)oc2c(C)c(OCC(=O)OC(C)(C)C)ccc12,XCLOVAUIMQGTOK-UHFFFAOYSA-N,4.52,0,N = 0,logP > 3.0,5,318.369,65.74,0,5,23,False,True,True,False,False,CCC1=CC(=O)OC2=C(C)C(OCC(=O)OC(C)(C)C)=CC=C12,C18H22O5,XCLOVAUIMQGTOK,True,False,False,False,True
SANG_CMR_EXT_005,R5762456,,,CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,NZTIPCHEAMRWCN-OAQYLSRUSA-N,3.08,1,N = 1,logP > 3.0,6,455.5320000000004,102.67999999999999,1,6,32,False,True,True,False,False,CC[C@@H](NS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC1=CC=C2C(OC(=O)C3=C2CCCC3)=C1,C24H25NO6S,NZTIPCHEAMRWCN,True,False,False,False,True
SANG_CMR_EXT_006,R5762627,,,COc1cc2c(cc1OC)[C@H](COc1ccc3c(C)cc(=O)oc3c1)N(C(=O)C1CCCCC1)CC2,HYXGIGVZSVPNGR-DEOSSOPVSA-N,5.07,1,N = 1,logP > 3.0,6,491.5840000000004,78.21000000000001,0,6,36,False,True,True,False,False,COC1=C(OC)C=C2[C@H](COC3=CC=C4C(C)=CC(=O)OC4=C3)N(CCC2=C1)C(=O)C1CCCCC1,C29H33NO6,HYXGIGVZSVPNGR,True,False,False,False,True
SANG_CMR_EXT_007,R5762640,,,CCn1cc(CN(C)C(=O)c2cc3cc(Br)ccc3oc2=O)c(C)n1,LGNNLEKUCHDMHW-UHFFFAOYSA-N,3.27,3,N = 2–3,logP > 3.0,3,404.2640000000002,68.34,0,4,25,False,True,True,False,False,CCN1C=C(CN(C)C(=O)C2=CC3=CC(Br)=CC=C3OC2=O)C(C)=N1,C18H18BrN3O3,LGNNLEKUCHDMHW,True,False,False,False,True
SANG_CMR_EXT_008,R5762833,,,COc1ccc(-c2nnc(SCc3cc(=O)oc4ccc5ccccc5c34)n2N)cc1,HGQITXLGESDIAZ-UHFFFAOYSA-N,4.24,4,N ≥ 4,logP > 3.0,3,430.48900000000015,96.17,1,7,31,False,True,True,False,False,COC1=CC=C(C=C1)C1=NN=C(SCC2=CC(=O)OC3=C2C2=CC=CC=C2C=C3)N1N,C23H18N4O3S,HGQITXLGESDIAZ,True,False,False,False,True
SANG_CMR_EXT_009,R38319780,"2H-1-Benzopyran-2-one, 7,8-dihydroxy-",486-35-1,O=c1ccc2ccc(O)c(O)c2o1,ATEFPOUAMCWAQS-UHFFFAOYSA-N,0.71,0,N = 0,logP < 1.5,4,178.14299999999997,70.67,2,4,13,False,True,True,False,False,OC1=CC=C2C=CC(=O)OC2=C1O,C9H6O4,ATEFPOUAMCWAQS,True,False,False,True,True
SANG_CMR_EXT_010,R38322885,"2H-1-benzopyran-2-one, 7-hydroxy-4-methyl-",90-33-5,Cc1cc(=O)oc2cc(O)ccc12,HSHNITRMYYLLCV-UHFFFAOYSA-N,1.9,0,N = 0,1.5 ≤ logP ≤ 3.0,3,176.171,50.44,1,3,13,False,True,True,False,False,CC1=CC(=O)OC2=C1C=CC(O)=C2,C10H8O3,HSHNITRMYYLLCV,True,False,False,True,True
SANG_CMR_EXT_011,R38322890,"2H-1-Benzopyran-2-one, 7-methoxy-",531-59-9,COc1ccc2ccc(=O)oc2c1,LIIALPBMIOVAHH-UHFFFAOYSA-N,2.13,0,N = 0,1.5 ≤ logP ≤ 3.0,3,176.17099999999996,39.44,0,3,13,False,True,True,False,False,COC1=CC=C2C=CC(=O)OC2=C1,C10H8O3,LIIALPBMIOVAHH,True,False,False,True,True
SANG_CMR_EXT_012,R38325466,"2H-Thieno[3,2-g]-1-benzopyran-2-one",144190-41-0,O=c1ccc2cc3ccsc3cc2o1,MVYJHOJFBCLVIB-UHFFFAOYSA-N,2.27,0,N = 0,1.5 ≤ logP ≤ 3.0,2,202.23399999999998,30.21,0,3,14,False,True,True,False,False,O=C1OC2=C(C=C1)C=C1C=CSC1=C2,C11H6O2S,MVYJHOJFBCLVIB,True,False,False,True,True
SANG_CMR_EXT_013,R38325469,"2H-Furo[2,3-H]-1-benzopyran-2-one",523-50-2,O=c1ccc2ccc3occc3c2o1,XDROKJSWHURZGO-UHFFFAOYSA-N,2.08,0,N = 0,1.5 ≤ logP ≤ 3.0,3,186.166,43.35,0,3,14,False,True,True,False,False,O=C1OC2=C3C=COC3=CC=C2C=C1,C11H6O3,XDROKJSWHURZGO,True,False,False,True,True
SANG_CMR_EXT_014,R38325586,"2H-1-Benzopyran-2-one, 3-acetyl-",3949-36-8,CC(=O)c1cc2ccccc2oc1=O,CSPIFKKOBWYOEX-UHFFFAOYSA-N,1.5,0,N = 0,1.5 ≤ logP ≤ 3.0,3,188.18199999999996,47.28,0,3,14,False,True,True,False,False,CC(=O)C1=CC2=CC=CC=C2OC1=O,C11H8O3,CSPIFKKOBWYOEX,True,False,False,True,True
SANG_CMR_EXT_015,R38325789,7-Methoxy-4-methylcoumarin,2555-28-4,COc1ccc2c(C)cc(=O)oc2c1,UDFPKNSWSYBIHO-UHFFFAOYSA-N,3.16,0,N = 0,logP > 3.0,3,190.19799999999998,39.44,0,3,14,False,True,True,False,False,COC1=CC2=C(C=C1)C(C)=CC(=O)O2,C11H10O3,UDFPKNSWSYBIHO,True,False,False,True,True
SANG_CMR_EXT_016,R38325792,"2H-1-Benopyran-2-one, 6,7-dimethoxy-",120-08-1,COc1cc2ccc(=O)oc2cc1OC,GUAFOGOEJLSQBT-UHFFFAOYSA-N,2.45,0,N = 0,1.5 ≤ logP ≤ 3.0,4,206.19699999999997,48.67,0,4,15,False,True,True,False,False,COC1=CC2=C(C=CC(=O)O2)C=C1OC,C11H10O4,GUAFOGOEJLSQBT,True,False,False,False,True
SANG_CMR_EXT_017,R38328630,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 4-METHYL-",6457-92-7,Cc1cc(=O)oc2c1ccc1occc12,HCYYGOURSFQHRV-UHFFFAOYSA-N,2.34,0,N = 0,1.5 ≤ logP ≤ 3.0,3,200.19299999999998,43.35,0,3,15,False,True,True,False,False,CC1=CC(=O)OC2=C3C=COC3=CC=C12,C12H8O3,HCYYGOURSFQHRV,True,False,False,True,True
