External_ID,Canonical_SMILES,Name,logP_exp,N_count,N_group,logP_bin
SANG_CMR_EXT_001,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1cccs1,,2.34,2,N = 2–3,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_002,COc1ccc2c(C)c(C)c(=O)oc2c1C,,3.45,0,N = 0,logP > 3.0
SANG_CMR_EXT_003,Cc1cc(=O)oc2cc(OC(C)C)ccc12,,3.33,0,N = 0,logP > 3.0
SANG_CMR_EXT_004,CCc1cc(=O)oc2c(C)c(OCC(=O)OC(C)(C)C)ccc12,,4.52,0,N = 0,logP > 3.0
SANG_CMR_EXT_005,CC[C@@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)Oc1ccc2c3c(c(=O)oc2c1)CCCC3,,3.08,1,N = 1,logP > 3.0
SANG_CMR_EXT_006,COc1cc2c(cc1OC)[C@H](COc1ccc3c(C)cc(=O)oc3c1)N(C(=O)C1CCCCC1)CC2,,5.07,1,N = 1,logP > 3.0
SANG_CMR_EXT_007,CCn1cc(CN(C)C(=O)c2cc3cc(Br)ccc3oc2=O)c(C)n1,,3.27,3,N = 2–3,logP > 3.0
SANG_CMR_EXT_008,COc1ccc(-c2nnc(SCc3cc(=O)oc4ccc5ccccc5c34)n2N)cc1,,4.24,4,N ≥ 4,logP > 3.0
SANG_CMR_EXT_009,O=c1ccc2ccc(O)c(O)c2o1,"2H-1-Benzopyran-2-one, 7,8-dihydroxy-",0.71,0,N = 0,logP < 1.5
SANG_CMR_EXT_010,Cc1cc(=O)oc2cc(O)ccc12,"2H-1-benzopyran-2-one, 7-hydroxy-4-methyl-",1.9,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_011,COc1ccc2ccc(=O)oc2c1,"2H-1-Benzopyran-2-one, 7-methoxy-",2.13,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_012,O=c1ccc2cc3ccsc3cc2o1,"2H-Thieno[3,2-g]-1-benzopyran-2-one",2.27,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_013,O=c1ccc2ccc3occc3c2o1,"2H-Furo[2,3-H]-1-benzopyran-2-one",2.08,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_014,CC(=O)c1cc2ccccc2oc1=O,"2H-1-Benzopyran-2-one, 3-acetyl-",1.5,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_015,COc1ccc2c(C)cc(=O)oc2c1,7-Methoxy-4-methylcoumarin,3.16,0,N = 0,logP > 3.0
SANG_CMR_EXT_016,COc1cc2ccc(=O)oc2cc1OC,"2H-1-Benopyran-2-one, 6,7-dimethoxy-",2.45,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_017,Cc1cc(=O)oc2c1ccc1occc12,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 4-METHYL-",2.34,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_018,Cc1cc2occc2c2oc(=O)ccc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 5-methyl-",2.5,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_019,Cc1cc2c(ccc3ccc(=O)oc32)o1,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 8-METHYL-",2.49,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_020,Cc1coc2ccc3ccc(=O)oc3c12,"2H-FURO[2,3-H]-1-BENZOPYRAN-2-ONE, 9-METHYL-",2.51,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_021,Cc1c2ccoc2cc2oc(=O)ccc12,"7H-furo[3,2-g][1]benzopyran-7-one, 4-methyl-",2.33,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_022,Cc1c2occc2cc2ccc(=O)oc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 9-methyl-",2.48,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_023,Cc1cc2ccc(=O)oc2c2ccoc12,"2H-Furo[2,3-h]-1-benzopyran-2-one, 6-methyl-",2.43,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_024,Cc1cc2ccc3occc3c2oc1=O,"2H-Furo[2,3-h]-1-benzopyran-2-one, 3-methyl-",2.49,0,N = 0,1.5 ≤ logP ≤ 3.0
SANG_CMR_EXT_025,Cc1coc2cc3oc(=O)ccc3cc12,"7H-Furo[3,2-g][1]benzopyran-7-one, 3-methyl-",2.47,0,N = 0,1.5 ≤ logP ≤ 3.0
