N_group,logP_bin,n,mean_delta,mae,severe_error_n,severe_overestimation_n,mean_spread4
N = 0,1.5 ≤ logP ≤ 3.0,50,0.39860000000000007,0.5898,0,0,1.6848
N = 0,logP < 1.5,11,-0.6218181818181819,0.9436363636363635,2,2,2.381818181818182
N = 0,logP > 3.0,37,0.5951351351351352,0.7367567567567567,1,1,1.3962162162162164
N = 1,1.5 ≤ logP ≤ 3.0,6,0.14333333333333334,0.5933333333333333,0,0,1.505
N = 1,logP < 1.5,1,-0.8800000000000001,0.8800000000000001,0,0,2.25
N = 1,logP > 3.0,2,0.20500000000000007,0.875,0,0,1.5899999999999999
N = 2–3,1.5 ≤ logP ≤ 3.0,2,-0.33999999999999997,0.36,0,0,2.6500000000000004
N = 2–3,logP < 1.5,4,-0.76,0.76,0,0,1.315
N = 2–3,logP > 3.0,3,0.6666666666666666,0.6666666666666666,0,0,3.5666666666666664
N ≥ 4,1.5 ≤ logP ≤ 3.0,3,-2.14,2.14,3,3,1.8066666666666669
N ≥ 4,logP < 1.5,6,-1.9649999999999999,1.9649999999999999,4,4,1.7233333333333334
N ≥ 4,logP > 3.0,1,1.1500000000000004,1.1500000000000004,0,0,2.9400000000000004
