Compound_ID,logP_exp,XLOGP3,WLOGP,MLOGP,Silicos_IT,Consensus,Consensus_Error,Abs_Consensus_Error,Spread4,Severe_Error_Group
CMR_GOLD_001,2.505,3.16,4.5,2.81,5.14,3.74,-1.2350000000000003,1.2350000000000003,2.3299999999999996,|consensus error| < 2.0
CMR_GOLD_002,3.22,3.5,2.81,1.81,3.54,3.14,0.08,0.08,1.73,|consensus error| < 2.0
CMR_GOLD_003,3.01,2.71,2.21,0.87,2.64,2.23,0.7799999999999998,0.7799999999999998,1.8399999999999999,|consensus error| < 2.0
CMR_GOLD_004,2.97,2.71,2.21,0.87,2.64,2.31,0.6600000000000001,0.6600000000000001,1.8399999999999999,|consensus error| < 2.0
CMR_GOLD_005,2.78,2.8,2.11,1.28,1.69,2.17,0.6099999999999999,0.6099999999999999,1.5199999999999998,|consensus error| < 2.0
CMR_GOLD_006,3.77,3.2,1.76,1.66,2.88,1.9,1.87,1.87,1.5400000000000003,|consensus error| < 2.0
CMR_GOLD_007,4.88,6.96,6.92,5.16,6.47,5.93,-1.0499999999999998,1.0499999999999998,1.7999999999999998,|consensus error| < 2.0
CMR_GOLD_008,5.04,7.69,7.53,5.55,7.54,6.57,-1.5300000000000002,1.5300000000000002,2.1400000000000006,|consensus error| < 2.0
CMR_GOLD_009,5.03,7.69,7.53,5.55,7.54,6.59,-1.5599999999999996,1.5599999999999996,2.1400000000000006,|consensus error| < 2.0
CMR_GOLD_010,4.76,6.94,6.93,4.81,6.54,6.0,-1.2400000000000002,1.2400000000000002,2.130000000000001,|consensus error| < 2.0
CMR_GOLD_011,3.93,5.89,6.31,4.15,5.89,5.19,-1.2600000000000002,1.2600000000000002,2.1599999999999993,|consensus error| < 2.0
CMR_GOLD_012,2.37,1.27,1.5,1.04,1.97,1.43,0.9400000000000002,0.9400000000000002,0.9299999999999999,|consensus error| < 2.0
CMR_GOLD_013,3.28,2.7,3.61,2.51,4.36,3.12,0.1599999999999997,0.1599999999999997,1.8500000000000005,|consensus error| < 2.0
CMR_GOLD_014,3.24,1.98,3.52,1.55,2.19,2.26,0.9800000000000004,0.9800000000000004,1.97,|consensus error| < 2.0
CMR_GOLD_016,4.93,2.0,3.01,1.87,3.91,2.66,2.27,2.27,2.04,|consensus error| ≥ 2.0
CMR_GOLD_017,4.55,1.38,3.09,1.69,3.97,2.61,1.94,1.94,2.5900000000000003,|consensus error| < 2.0
CMR_GOLD_018,3.304,4.73,5.34,3.27,5.91,4.56,-1.2559999999999998,1.2559999999999998,2.64,|consensus error| < 2.0
CMR_GOLD_019,3.112,5.42,6.11,3.58,6.58,5.05,-1.938,1.938,3.0,|consensus error| < 2.0
CMR_GOLD_020,3.537,5.29,5.73,3.35,6.23,4.81,-1.2729999999999997,1.2729999999999997,2.8800000000000003,|consensus error| < 2.0
CMR_GOLD_021,3.059,5.29,5.89,3.64,6.51,4.99,-1.931,1.931,2.8699999999999997,|consensus error| < 2.0
CMR_GOLD_022,3.002,5.92,6.54,3.85,7.15,5.4,-2.398000000000001,2.398000000000001,3.3000000000000003,|consensus error| ≥ 2.0
CMR_GOLD_023,3.067,5.36,6.0,3.74,6.55,5.07,-2.003,2.003,2.8099999999999996,|consensus error| ≥ 2.0
CMR_GOLD_024,3.602,5.66,6.2,3.58,7.03,5.23,-1.6280000000000006,1.6280000000000006,3.45,|consensus error| < 2.0
CMR_GOLD_025,3.336,5.79,6.42,3.78,7.1,5.4,-2.0640000000000005,2.0640000000000005,3.32,|consensus error| ≥ 2.0
CMR_GOLD_026,3.04,3.62,4.04,3.2,4.44,3.61,-0.5699999999999998,0.5699999999999998,1.2400000000000002,|consensus error| < 2.0
CMR_GOLD_027,0.45,0.89,1.13,0.84,1.71,1.33,-0.8800000000000001,0.8800000000000001,0.87,|consensus error| < 2.0
CMR_GOLD_028,0.6,2.0,2.29,2.16,2.73,2.35,-1.75,1.75,0.73,|consensus error| < 2.0
CMR_GOLD_029,0.55,2.32,2.89,1.97,3.29,2.59,-2.04,2.04,1.32,|consensus error| ≥ 2.0
CMR_GOLD_030,0.61,3.05,3.51,2.41,4.34,3.24,-2.6300000000000003,2.6300000000000003,1.9299999999999997,|consensus error| ≥ 2.0
CMR_GOLD_031,0.49,3.28,3.51,2.24,4.44,3.17,-2.68,2.68,2.2,|consensus error| ≥ 2.0
CMR_GOLD_032,0.65,-0.05,0.16,-0.11,0.57,0.66,-0.01,0.01,0.6799999999999999,|consensus error| < 2.0
CMR_GOLD_033,0.48,2.18,2.47,2.3,2.6,2.61,-2.13,2.13,0.41999999999999993,|consensus error| ≥ 2.0
CMR_GOLD_034,0.49,2.82,3.68,1.77,3.74,3.02,-2.53,2.53,1.9700000000000002,|consensus error| ≥ 2.0
CMR_GOLD_035,0.61,4.28,4.91,2.51,5.91,4.42,-3.81,3.81,3.4000000000000004,|consensus error| ≥ 2.0
CMR_GOLD_036,0.58,4.74,4.92,2.3,6.04,4.25,-3.67,3.67,3.74,|consensus error| ≥ 2.0
CMR_GOLD_037,2.58,3.56,3.5,3.37,3.41,3.22,-0.6400000000000001,0.6400000000000001,0.18999999999999995,|consensus error| < 2.0
CMR_GOLD_038,2.89,3.92,3.81,3.61,3.92,3.59,-0.6999999999999997,0.6999999999999997,0.31000000000000005,|consensus error| < 2.0
CMR_GOLD_039,2.78,3.81,3.5,3.33,3.51,3.35,-0.5700000000000003,0.5700000000000003,0.48,|consensus error| < 2.0
CMR_GOLD_040,0.22,1.66,2.01,1.24,2.85,1.9,-1.68,1.68,1.61,|consensus error| < 2.0
CMR_GOLD_041,1.0,0.87,0.98,1.7,1.66,1.36,-0.3600000000000001,0.3600000000000001,0.83,|consensus error| < 2.0
CMR_GOLD_042,3.63,3.24,3.05,2.61,3.56,2.96,0.6699999999999999,0.6699999999999999,0.9500000000000002,|consensus error| < 2.0
CMR_GOLD_043,1.95,1.34,1.84,1.38,2.36,1.78,0.1699999999999999,0.1699999999999999,1.0199999999999998,|consensus error| < 2.0
CMR_GOLD_044,2.12,1.74,2.15,1.66,2.82,2.15,-0.0299999999999998,0.0299999999999998,1.16,|consensus error| < 2.0
CMR_GOLD_045,3.22,3.0,3.51,3.0,3.83,3.26,-0.0399999999999995,0.0399999999999995,0.8300000000000001,|consensus error| < 2.0
CMR_GOLD_046,2.98,2.97,3.52,2.69,3.84,3.27,-0.29,0.29,1.15,|consensus error| < 2.0
CMR_GOLD_047,1.98,1.16,0.27,1.9,2.49,1.45,0.53,0.53,2.22,|consensus error| < 2.0
CMR_GOLD_048,1.93,1.59,0.66,2.18,2.53,1.75,0.1799999999999999,0.1799999999999999,1.8699999999999997,|consensus error| < 2.0
CMR_GOLD_049,2.45,2.9,2.19,3.51,3.38,2.88,-0.4299999999999997,0.4299999999999997,1.3199999999999998,|consensus error| < 2.0
CMR_GOLD_050,2.7,3.33,2.58,3.75,3.46,3.15,-0.4499999999999997,0.4499999999999997,1.17,|consensus error| < 2.0
CMR_GOLD_051,3.03,3.47,3.97,2.93,4.36,3.48,-0.4500000000000002,0.4500000000000002,1.4300000000000002,|consensus error| < 2.0
CMR_GOLD_052,2.16,2.55,2.67,3.2,1.97,2.57,-0.4099999999999997,0.4099999999999997,1.2300000000000002,|consensus error| < 2.0
CMR_GOLD_053,3.07,2.97,3.52,2.29,3.84,3.17,-0.1,0.1,1.5499999999999998,|consensus error| < 2.0
CMR_GOLD_054,3.04,3.06,2.5,3.2,3.88,3.14,-0.1,0.1,1.38,|consensus error| < 2.0
CMR_GOLD_055,1.39,1.39,1.79,1.65,2.5,1.82,-0.4300000000000001,0.4300000000000001,1.11,|consensus error| < 2.0
CMR_GOLD_056,0.42,1.39,2.25,1.65,2.5,1.82,-1.4,1.4,1.11,|consensus error| < 2.0
CMR_GOLD_057,1.365,5.61,5.44,3.21,6.05,4.88,-3.515,3.515,2.84,|consensus error| ≥ 2.0
CMR_GOLD_058,0.9664,7.08,7.0,4.0,7.68,6.16,-5.1936,5.1936,3.6799999999999997,|consensus error| ≥ 2.0
CMR_GOLD_059,1.67,1.67,2.54,1.48,2.91,2.12,-0.4500000000000002,0.4500000000000002,1.4300000000000002,|consensus error| < 2.0
CMR_GOLD_060,1.93,2.0,2.55,1.18,2.88,2.16,-0.2300000000000002,0.2300000000000002,1.7,|consensus error| < 2.0
CMR_GOLD_061,2.0,1.93,2.55,1.18,2.88,2.16,-0.1600000000000001,0.1600000000000001,1.7,|consensus error| < 2.0
CMR_GOLD_062,3.14,3.14,3.46,2.29,4.32,3.19,-0.0499999999999998,0.0499999999999998,2.0300000000000002,|consensus error| < 2.0
CMR_GOLD_063,1.412,4.89,2.05,3.84,4.25,2.34,-0.928,0.928,2.84,|consensus error| < 2.0
CMR_GOLD_064,1.63,5.59,2.81,4.44,4.92,3.09,-1.46,1.46,2.78,|consensus error| < 2.0
CMR_GOLD_065,1.58,5.59,2.81,4.44,4.92,3.05,-1.4699999999999998,1.4699999999999998,2.78,|consensus error| < 2.0
CMR_GOLD_066,0.826,4.54,1.75,3.31,3.76,2.05,-1.2239999999999998,1.2239999999999998,2.79,|consensus error| < 2.0
CMR_GOLD_067,0.645,4.54,1.75,3.31,3.76,2.0,-1.355,1.355,2.79,|consensus error| < 2.0
CMR_GOLD_068,1.501,5.52,2.7,4.33,4.88,2.97,-1.4690000000000003,1.4690000000000003,2.8199999999999994,|consensus error| < 2.0
CMR_GOLD_069,1.806,5.26,2.36,4.06,4.75,2.7,-0.8940000000000001,0.8940000000000001,2.9,|consensus error| < 2.0
CMR_GOLD_070,1.22,3.82,1.44,2.82,3.69,1.68,-0.4599999999999999,0.4599999999999999,2.38,|consensus error| < 2.0
CMR_GOLD_071,1.421,5.73,2.73,3.75,4.79,2.93,-1.509,1.509,3.0000000000000004,|consensus error| < 2.0
CMR_GOLD_072,1.471,6.35,3.39,4.23,5.43,3.4,-1.929,1.929,2.9599999999999995,|consensus error| < 2.0
CMR_GOLD_073,2.07,3.08,4.11,1.92,3.81,3.39,-1.3200000000000005,1.3200000000000005,2.1900000000000004,|consensus error| < 2.0
CMR_GOLD_074,2.43,3.73,4.26,2.38,4.58,3.76,-1.3299999999999996,1.3299999999999996,2.2,|consensus error| < 2.0
CMR_GOLD_075,2.65,4.61,5.5,3.21,4.75,4.38,-1.73,1.73,2.29,|consensus error| < 2.0
CMR_GOLD_076,2.52,3.4,4.62,2.87,4.52,3.81,-1.29,1.29,1.75,|consensus error| < 2.0
CMR_GOLD_077,2.8,5.47,6.73,3.48,6.23,5.36,-2.5600000000000005,2.5600000000000005,3.2500000000000004,|consensus error| ≥ 2.0
CMR_GOLD_078,2.25,2.35,2.15,2.19,2.38,2.32,-0.0699999999999998,0.0699999999999998,0.22999999999999998,|consensus error| < 2.0
CMR_GOLD_079,2.02,2.55,1.86,1.67,1.9,1.97,0.05,0.05,0.8799999999999999,|consensus error| < 2.0
CMR_GOLD_080,1.9,2.12,1.99,1.3,0.6,1.59,0.3099999999999998,0.3099999999999998,1.52,|consensus error| < 2.0
CMR_GOLD_081,1.95,1.97,1.87,1.39,1.96,1.94,0.01,0.01,0.5800000000000001,|consensus error| < 2.0
CMR_GOLD_082,2.65,2.39,2.16,1.49,2.56,2.27,0.3799999999999999,0.3799999999999999,1.07,|consensus error| < 2.0
CMR_GOLD_083,2.38,2.93,2.58,2.6,2.7,2.72,-0.3400000000000003,0.3400000000000003,0.3500000000000001,|consensus error| < 2.0
CMR_GOLD_084,2.65,3.12,2.28,2.08,2.22,2.41,0.2399999999999997,0.2399999999999997,1.04,|consensus error| < 2.0
CMR_GOLD_085,2.41,2.69,2.42,1.71,0.92,1.98,0.4300000000000001,0.4300000000000001,1.77,|consensus error| < 2.0
CMR_GOLD_086,2.61,2.54,2.29,1.8,2.27,2.36,0.25,0.25,0.74,|consensus error| < 2.0
CMR_GOLD_087,2.64,2.97,2.58,1.9,2.88,2.7,-0.06,0.06,1.0700000000000003,|consensus error| < 2.0
CMR_GOLD_088,1.498,3.95,2.73,1.17,3.66,3.0,-1.502,1.502,2.7800000000000002,|consensus error| < 2.0
CMR_GOLD_089,1.503,3.98,2.72,1.48,3.59,3.0,-1.497,1.497,2.5,|consensus error| < 2.0
CMR_GOLD_090,2.152,3.98,2.72,1.48,3.59,3.0,-0.8479999999999999,0.8479999999999999,2.5,|consensus error| < 2.0
CMR_GOLD_091,1.718,5.21,3.86,2.01,4.74,3.92,-2.202,2.202,3.2,|consensus error| ≥ 2.0
CMR_GOLD_092,1.779,5.24,3.85,2.33,4.67,3.93,-2.151,2.151,2.91,|consensus error| ≥ 2.0
CMR_GOLD_093,2.288,5.24,3.85,2.33,4.67,3.97,-1.6820000000000004,1.6820000000000004,2.91,|consensus error| < 2.0
CMR_GOLD_094,1.295,3.58,2.34,0.95,3.42,2.71,-1.415,1.415,2.63,|consensus error| < 2.0
CMR_GOLD_095,2.454,3.61,2.33,1.25,3.35,2.74,-0.286,0.286,2.36,|consensus error| < 2.0
CMR_GOLD_096,1.443,3.61,2.33,1.25,3.35,2.75,-1.307,1.307,2.36,|consensus error| < 2.0
