Compound_ID,Atom_index_0based,Atom_index_1based,Element,Mulliken_charge,Loewdin_charge,Is_heavy_atom,Is_N,Is_O
CMR_GOLD_029,0,1,O,-0.259017,-0.232958,True,False,True
CMR_GOLD_029,1,2,C,0.219458,0.082571,True,False,False
CMR_GOLD_029,2,3,O,-0.245848,-0.048699,True,False,True
CMR_GOLD_029,3,4,C,0.16452,0.081506,True,False,False
CMR_GOLD_029,4,5,C,0.043523,-0.079355,True,False,False
CMR_GOLD_029,5,6,C,-0.054456,0.005406,True,False,False
CMR_GOLD_029,6,7,C,-0.014977,-0.05433,True,False,False
CMR_GOLD_029,7,8,C,0.2429,0.068885,True,False,False
CMR_GOLD_029,8,9,O,-0.328795,-0.092425,True,False,True
CMR_GOLD_029,9,10,C,0.162472,0.076732,True,False,False
CMR_GOLD_029,10,11,C,0.140918,0.052733,True,False,False
CMR_GOLD_029,11,12,O,-0.32898,-0.144142,True,False,True
CMR_GOLD_029,12,13,C,0.17806,0.053858,True,False,False
CMR_GOLD_029,13,14,N,-0.215393,0.03277,True,True,False
CMR_GOLD_029,14,15,C,0.127733,0.053473,True,False,False
CMR_GOLD_029,15,16,N,-0.191979,-0.181997,True,True,False
CMR_GOLD_029,16,17,C,0.04574,-0.039486,True,False,False
CMR_GOLD_029,17,18,C,0.131292,-0.007671,True,False,False
CMR_GOLD_029,18,19,C,-0.09446,-0.053995,True,False,False
CMR_GOLD_029,19,20,C,-0.008569,-0.039128,True,False,False
CMR_GOLD_029,20,21,C,0.001797,-0.048849,True,False,False
CMR_GOLD_029,21,22,C,-0.094936,-0.038993,True,False,False
CMR_GOLD_029,22,23,C,-0.131164,-0.090185,True,False,False
CMR_GOLD_029,23,24,C,0.005555,0.040447,True,False,False
CMR_GOLD_029,24,25,C,0.094486,-0.039004,True,False,False
CMR_GOLD_029,25,26,C,-0.167352,-0.099818,True,False,False
CMR_GOLD_029,26,27,H,0.010596,0.043728,False,False,False
CMR_GOLD_029,27,28,H,-5.3e-05,0.041688,False,False,False
CMR_GOLD_029,28,29,H,0.045192,0.031765,False,False,False
CMR_GOLD_029,29,30,H,0.048386,0.024261,False,False,False
CMR_GOLD_029,30,31,H,0.018303,0.024275,False,False,False
CMR_GOLD_029,31,32,H,0.191693,0.086257,False,False,False
CMR_GOLD_029,32,33,H,0.046045,0.045939,False,False,False
CMR_GOLD_029,33,34,H,0.053701,0.047511,False,False,False
CMR_GOLD_029,34,35,H,0.037334,0.029258,False,False,False
CMR_GOLD_029,35,36,H,-0.003499,0.037476,False,False,False
CMR_GOLD_029,36,37,H,0.002953,0.033922,False,False,False
CMR_GOLD_029,37,38,H,-3.1e-05,0.032589,False,False,False
CMR_GOLD_029,38,39,H,-0.01884,0.034211,False,False,False
CMR_GOLD_029,39,40,H,0.002365,0.046699,False,False,False
CMR_GOLD_029,40,41,H,0.051537,0.049593,False,False,False
CMR_GOLD_029,41,42,H,0.030932,0.040175,False,False,False
CMR_GOLD_029,42,43,H,0.051623,0.049655,False,False,False
CMR_GOLD_029,43,44,H,0.009236,0.043652,False,False,False
