Compound_ID,Atom_index_0based,Atom_index_1based,Element,Mulliken_charge,Loewdin_charge,Is_heavy_atom,Is_N,Is_O
CMR_GOLD_044,0,1,O,-0.240006,-0.212817,True,False,True
CMR_GOLD_044,1,2,C,0.241503,0.082608,True,False,False
CMR_GOLD_044,2,3,O,-0.236782,-0.037459,True,False,True
CMR_GOLD_044,3,4,C,0.15622,0.074404,True,False,False
CMR_GOLD_044,4,5,C,-0.034875,-0.039262,True,False,False
CMR_GOLD_044,5,6,C,0.027893,0.00187,True,False,False
CMR_GOLD_044,6,7,C,0.020791,-0.030673,True,False,False
CMR_GOLD_044,7,8,C,-0.029986,-0.004878,True,False,False
CMR_GOLD_044,8,9,C,0.018379,-0.053735,True,False,False
CMR_GOLD_044,9,10,C,0.208275,0.015944,True,False,False
CMR_GOLD_044,10,11,C,-0.025325,-0.001118,True,False,False
CMR_GOLD_044,11,12,N,-0.018048,-0.050335,True,True,False
CMR_GOLD_044,12,13,O,-0.183155,0.007471,True,False,True
CMR_GOLD_044,13,14,C,0.064614,0.082364,True,False,False
CMR_GOLD_044,14,15,C,0.111484,-0.04694,True,False,False
CMR_GOLD_044,15,16,N,-0.165605,-0.140375,True,True,False
CMR_GOLD_044,16,17,C,-0.173869,-0.040727,True,False,False
