Compound_ID,Field,Value,Status,Note
CMR_GOLD_044,exists::CMR_GOLD_044_optfreq.inp,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\input\CMR_GOLD_044_optfreq.inp
CMR_GOLD_044,exists::CMR_GOLD_044_sp.inp,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\input\CMR_GOLD_044_sp.inp
CMR_GOLD_044,exists::CMR_GOLD_044_optfreq.out,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\output\CMR_GOLD_044_optfreq.out
CMR_GOLD_044,exists::CMR_GOLD_044_sp.out,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\output\CMR_GOLD_044_sp.out
CMR_GOLD_044,exists::CMR_GOLD_044_start.xyz,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\input\CMR_GOLD_044_start.xyz
CMR_GOLD_044,exists::CMR_GOLD_044_opt.xyz,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\geometry\CMR_GOLD_044_opt.xyz
CMR_GOLD_044,exists::CMR_GOLD_044_charges_mulliken_loewdin.csv,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\extracted_data\CMR_GOLD_044_charges_mulliken_loewdin.csv
CMR_GOLD_044,exists::CMR_GOLD_044_sp_summary.csv,True,PASS,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_044\extracted_data\CMR_GOLD_044_sp_summary.csv
CMR_GOLD_044,Opt route,! B3LYP D3BJ def2-SVP TightSCF RIJCOSX def2/J CPCM(Water) Opt Freq,PASS,
CMR_GOLD_044,SP route,! B3LYP D3BJ def2-SVP TightSCF RIJCOSX def2/J CPCM(Water),PASS,
CMR_GOLD_044,Opt charge/multiplicity,* xyzfile 0 1 input/CMR_GOLD_044_start.xyz,PASS,
CMR_GOLD_044,SP charge/multiplicity,* xyzfile 0 1 geometry/CMR_GOLD_044_opt.xyz,PASS,
CMR_GOLD_044,Opt normal termination,True,PASS,
CMR_GOLD_044,Opt convergence,True,PASS,
CMR_GOLD_044,Opt frequency count,75,PASS,expected=75
CMR_GOLD_044,Opt min frequency,0.0,PASS,
CMR_GOLD_044,Opt imaginary frequencies < -20 cm-1,[],PASS,
CMR_GOLD_044,Opt final energy count,13,PASS,
CMR_GOLD_044,SP normal termination,True,PASS,
