Compound_ID,atom_index_0based,atom_index_1based,element,Mulliken_charge,Loewdin_charge,is_heavy_atom,sp_output,opt_xyz
CMR_GOLD_092,0,1,O,-0.243482,-0.225335,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,1,2,C,0.205989,0.095376,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,2,3,C,-0.16059,-0.204749,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,3,4,C,0.186246,0.081592,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,4,5,C,-0.011932,-0.090971,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,5,6,C,0.180179,0.066465,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,6,7,C,-0.042279,-0.044494,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,7,8,C,0.022802,9.1e-05,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,8,9,C,0.017604,-0.038051,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,9,10,C,-0.034019,0.009073,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,10,11,O,-0.25388,-0.060831,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,11,12,O,-0.324724,-0.244215,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,12,13,C,0.036881,0.129673,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,13,14,C,-0.028744,-0.033477,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,14,15,C,0.006434,-0.014398,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,15,16,C,0.001943,-0.025615,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
CMR_GOLD_092,16,17,C,0.007419,-0.022418,True,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\output\CMR_GOLD_092_sp.out,D:\Makaleler\coumarin-logp-working-source\dft\molecules\CMR_GOLD_092\geometry\CMR_GOLD_092_opt.xyz
